   Value    % =                 % >=              
       0:   13.2305687116      100.0               
      14:    9.6660149794       86.7694312884      
      16:    9.6660149794       77.103416309       
      18:    9.6660149794       67.4374013296      
      28:    2.84734230977      57.7713863502      
      30:    5.69468461953      54.9240440404      
      32:    8.5420269293       49.2293594209      
      34:    5.69468461953      40.6873324916      
      36:    2.84734230977      34.9926478721      
      42:    0.688931684251     32.1453055623      
      44:    2.06679505275      31.456373878       
      46:    4.1335901055       29.3895788253      
      48:    4.82252178975      25.2559887198      
      50:    4.1335901055       20.43346693        
      52:    2.06679505275      16.2998768245      
      54:    0.688931684251     14.2330817718      
      56:    0.121234553498     13.5441500875      
      58:    0.484938213993     13.422915534       
      60:    1.21234553498      12.93797732        
      62:    1.93975285597      11.7256317851      
      64:    2.30345651647       9.78587892908     
      66:    1.93975285597       7.48242241262     
      68:    1.21234553498       5.54266955664     
      70:    0.498247396513      4.33032402166     
      72:    0.187780466097      3.83207662515     
      74:    0.199637737797      3.64429615905     
      76:    0.399275475593      3.44465842125     
      78:    0.59891321339       3.04538294566     
      80:    0.678768308508      2.44646973227     
      82:    0.59891321339       1.76770142376     
      84:    0.399947656528      1.16878821037     
      86:    0.203670823409      0.768840553844    
      88:    0.080661712241      0.565169730436    
      90:    0.0469182292869     0.484508018194    
      92:    0.0604962841808     0.437589788908    
      94:    0.0846947978531     0.377093504727    
      96:    0.0947775118832     0.292398706874    
      98:    0.0846947978531     0.197621194991    
     100:    0.0604962841808     0.112926397137    
     102:    0.0336090467671     0.0524301129567   
     104:    0.0141157996422     0.0188210661896   
     106:    0.00403308561205    0.00470526654739  
     108:    0.000672180935342   0.000672180935342 

Average = 31.1111111111    Spread = 21.3745743346  Mean deviation = 17.2999239594
